sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
5691,Rectal prolapse,-1,,1.0,81336,Rectal prolapse,SNOMED,Condition,S,5,2,Disorder,57773001,20020131,20991231,
78603,Apnea,-1,,1.0,321689,Apnea,SNOMED,Condition,S,16,1,Clinical Finding,1023001,20020131,20991231,
5290,Glossitis,-1,,1.0,436147,Glossitis,SNOMED,Condition,S,14,4,Disorder,45534005,20020131,20991231,
99591,Sepsis,-1,,1.0,132797,Sepsis,SNOMED,Condition,S,58,3,Disorder,91302008,20020131,20991231,
725,Polymyalgia rheumatica,-1,,1.0,255348,Polymyalgia rheumatica,SNOMED,Condition,S,1,2,Disorder,65323003,20020131,20991231,
5750,Acute cholecystitis,-1,,1.0,198809,Acute cholecystitis,SNOMED,Condition,S,8,2,Disorder,65275009,20020131,20991231,
5762,Obstruction of bile duct,-1,,1.0,201066,Obstruction of bile duct,SNOMED,Condition,S,9,2,Disorder,30144000,20020131,20991231,
7802,Syncope and collapse,-1,,1.0,4206148,Syncope and collapse,SNOMED,Condition,S,0,2,Clinical Finding,309585006,20020131,20991231,
2449, acquired hypothyroidism,-1,,0.99,138384,Acquired hypothyroidism,SNOMED,Condition,S,22,1,Disorder,111566002,20020131,20991231,
5754,Perforation of gallbladder,-1,,1.0,196469,Perforation of gallbladder,SNOMED,Condition,S,1,4,Disorder,25345001,20020131,20991231,
5180,Pulmonary collapse,-1,,1.0,261880,Atelectasis,SNOMED,Condition,S,16,1,Disorder,46621007,20020131,20991231,
80601,Closed fracture of C1-C4 level with complete lesion of cord,-1,,0.93,4223844,Closed fracture of C1-C4 level with incomplete cord lesion,SNOMED,Condition,S,4,2,Disorder,8459005,20020131,20991231,
34982,Toxic encephalopathy,-1,,1.0,373764,Toxic encephalopathy,SNOMED,Condition,S,8,1,Disorder,28394000,20020131,20991231,
53082,Esophageal hemorrhage,-1,,1.0,23245,Esophageal bleeding,SNOMED,Condition,S,8,2,Disorder,15238002,20020131,20991231,
82101,Closed fracture of shaft of femur,-1,,1.0,438887,Closed fracture of shaft of femur,SNOMED,Condition,S,2,2,Disorder,26442006,20020131,20991231,
2555,Other adrenal hypofunction,-1,,0.91,4035127,Hypoadrenalism,SNOMED,Condition,S,5,1,Disorder,237785004,20020131,20991231,
9694,Poisoning by benzodiazepine-based tranquilizers,-1,,0.99,434819,Poisoning by benzodiazepine-based tranquilizer,SNOMED,Condition,S,19,2,Disorder,81914009,20020131,20991231,
42731,Atrial fibrillation,-1,,1.0,313217,Atrial fibrillation,SNOMED,Condition,S,12,3,Disorder,49436004,20020131,20991231,
2763,Alkalosis,-1,,1.0,438730,Alkalosis,SNOMED,Condition,S,6,1,Disorder,21420006,20020131,20991231,
0543,Herpetic meningoencephalitis,-1,,1.0,380941,Meningoencephalitis caused by human herpes simplex virus,SNOMED,Condition,S,0,3,Disorder,9678009,20020131,20991231,
4280,Congestive heart failure,-1,,1.0,319835,Congestive heart failure,SNOMED,Condition,S,19,2,Disorder,42343007,20020131,20991231,
03811,Methicillin susceptible Staphylococcus aureus septicemia,-1,,0.92,4168510,Methicillin susceptible Staphylococcus aureus,SNOMED,Observation,S,0,2,Organism,417943000,20060131,20991231,
78057, sleep apnea,-1,,0.95,313459,Sleep apnea,SNOMED,Condition,S,4,3,Disorder,73430006,20020131,20991231,
4241,Aortic valve disorders,-1,,0.97,314054,Aortic valve disorder,SNOMED,Condition,S,8,2,Disorder,8722008,20020131,20991231,
3453,Grand mal status,-1,,1.0,373748,Tonic-clonic status epilepticus,SNOMED,Condition,S,2,2,Clinical Finding,13973009,20020131,20991231,
42741,Ventricular fibrillation,-1,,1.0,437894,Ventricular fibrillation,SNOMED,Condition,S,4,3,Disorder,71908006,20020131,20991231,
4240,Mitral valve disorders,-1,,0.96,319843,Mitral valve disorder,SNOMED,Condition,S,33,2,Disorder,11851006,20020131,20991231,
2866,Defibrination syndrome,-1,,1.0,436093,Disseminated intravascular coagulation,SNOMED,Condition,S,9,1,Disorder,67406007,20020131,20991231,
4168,Other chronic pulmonary heart diseases,-1,,0.92,4195892,Chronic cor pulmonale,SNOMED,Condition,S,0,2,Disorder,79955004,20020131,20991231,
3481,Anoxic brain damage,-1,,1.0,377845,Anoxic encephalopathy,SNOMED,Condition,S,10,3,Disorder,389098007,20030131,20991231,
3485,Cerebral edema,-1,,1.0,376690,Cerebral edema,SNOMED,Condition,S,7,2,Disorder,2032001,20020131,20991231,
78003,Persistent vegetative state,-1,,1.0,381686,Persistent vegetative state,SNOMED,Condition,S,1,1,Disorder,24473007,20020131,20991231,
34831,Metabolic encephalopathy,-1,,1.0,372892,Metabolic encephalopathy,SNOMED,Condition,S,20,2,Disorder,50122000,20020131,20991231,
27800,Obesity,-1,,1.0,433736,Obesity,SNOMED,Condition,S,32,2,Disorder,414916001,20050131,20991231,
7850,Tachycardia,-1,,1.0,444070,Tachycardia,SNOMED,Condition,S,8,1,Clinical Finding,3424008,20020131,20991231,
27651,Dehydration,-1,,1.0,435796,Dehydration,SNOMED,Condition,S,9,1,Disorder,34095006,20020131,20991231,
3361,Vascular myelopathies,-1,,1.0,136960,Vascular myelopathy,SNOMED,Condition,S,6,1,Disorder,29774004,20020131,20991231,
4111,Intermediate coronary syndrome,-1,,1.0,315296,Preinfarction syndrome,SNOMED,Condition,S,6,1,Disorder,4557003,20020131,20991231,
2273,Benign neoplasm of pituitary gland and craniopharyngeal duct,-1,,1.0,437251,Benign neoplasm of pituitary gland and craniopharyngeal duct,SNOMED,Condition,S,0,1,Disorder,271479005,20020131,20991231,
29281,Drug-induced delirium,-1,,1.0,373449,Delirium caused by drug,SNOMED,Condition,S,3,2,Disorder,191492000,20020131,20991231,
2532,Panhypopituitarism,-1,,1.0,30365,Panhypopituitarism,SNOMED,Condition,S,7,2,Disorder,32390006,20020131,20991231,
56400,Constipation,-1,,1.0,75860,Constipation,SNOMED,Condition,S,17,3,Clinical Finding,14760008,20020131,20991231,
51884,Acute and chronic respiratory failure,-1,,0.92,312940,Acute-on-chronic respiratory failure,SNOMED,Condition,S,4,2,Disorder,67905004,20020131,20991231,
8020,Closed fracture of nasal bones,-1,,1.0,435082,Closed fracture of nasal bones,SNOMED,Condition,S,0,3,Disorder,81639003,20020131,20991231,
452,Portal vein thrombosis,-1,,1.0,199837,Portal vein thrombosis,SNOMED,Condition,S,1,2,Disorder,17920008,20020131,20991231,
73300,Osteoporosis,-1,,1.0,80502,Osteoporosis,SNOMED,Condition,S,12,1,Disorder,64859006,20020131,20991231,
42833,Acute on chronic diastolic heart failure,-1,,1.0,40481043,Acute on chronic diastolic heart failure,SNOMED,Condition,S,1,3,Disorder,443344007,20100131,20991231,
37950,Nystagmus,-1,,1.0,378165,Nystagmus,SNOMED,Condition,S,42,2,Disorder,563001,20020131,20991231,
42832,Chronic diastolic heart failure,-1,,1.0,40479576,Chronic diastolic heart failure,SNOMED,Condition,S,2,2,Disorder,441530006,20090731,20991231,
1120,Candidiasis of mouth,-1,,1.0,29735,Candidiasis of mouth,SNOMED,Condition,S,14,4,Disorder,79740000,20020131,20991231,
7907,Bacteremia,-1,,1.0,132736,Bacteremia,SNOMED,Condition,S,4,1,Clinical Finding,5758002,20020131,20991231,
2809,Iron deficiency anemia,-1,,1.0,436659,Iron deficiency anemia,SNOMED,Condition,S,15,6,Disorder,87522002,20020131,20991231,
5724,Hepatorenal syndrome,-1,,1.0,196455,Hepatorenal syndrome,SNOMED,Condition,S,5,2,Disorder,51292008,20020131,20991231,
1124,Candidiasis of lung,-1,,1.0,260041,Candidiasis of lung,SNOMED,Condition,S,1,2,Disorder,3487004,20020131,20991231,
5723,Portal hypertension,-1,,1.0,192680,Portal hypertension,SNOMED,Condition,S,5,2,Disorder,34742003,20020131,20991231,
4271,Paroxysmal ventricular tachycardia,-1,,1.0,437579,Paroxysmal ventricular tachycardia,SNOMED,Condition,S,1,2,Disorder,66657009,20020131,20991231,
1622,Malignant neoplasm of main bronchus,-1,,1.0,4157333,Malignant neoplasm of main bronchus,SNOMED,Condition,S,2,2,Disorder,372065009,20020731,20991231,
99682,Complications of transplanted liver,-1,,0.93,200616,Complication of transplanted liver,SNOMED,Condition,S,5,3,Disorder,33167004,20020131,20991231,
5712,Alcoholic cirrhosis of liver,-1,,1.0,196463,Alcoholic cirrhosis,SNOMED,Condition,S,0,3,Disorder,420054005,20060131,20991231,
5121,Iatrogenic pneumothorax,-1,,1.0,40479583,Iatrogenic pneumothorax,SNOMED,Condition,S,0,2,Disorder,441536000,20090731,20991231,
8602,Traumatic hemothorax without mention of open wound into thorax,-1,,0.94,201441,Traumatic hemothorax without open wound into thorax,SNOMED,Condition,S,0,1,Disorder,44599007,20020131,20991231,
